ANNOSCOLASTICO, CODICESCUOLA, CODICEEDIFICIO, SCUOLABUS, TRASPORTIPUBBLICIURBANI, TRASPORTIPUBBLICIINTERURBANI, TRASPORTIFERROVIARI, MEZZIPRIVATI, TRASPORTODISABILI, ALTRO
201516,AGIS00200Q,0840120683,NO,SI,NO,NO,SI,NO,Non Comunicato
201516,AGIS00800P,0840411635,NO,SI,NO,NO,SI,NO,Non Comunicato
201516,AGIS01100E,0840211777,SI,SI,NO,NO,SI,NO,Non Comunicato
201516,AGIS01100E,0840211783,NO,NO,NO,NO,SI,NO,Non Comunicato
201516,AGIS01200A,0840410730,NO,NO,NO,NO,SI,NO,Non Comunicato
201516,AGIS013006,0840211778,SI,SI,NO,NO,SI,NO,Non Comunicato
201516,AGIS014002,0840010662,NO,SI,NO,SI,SI,NO,Non Comunicato
201516,AGIS014002,0840011615,NO,SI,NO,SI,SI,NO,Non Comunicato
201516,AGIS01600N,0840411618,NO,SI,NO,NO,SI,NO,Non Comunicato
201516,AGIS01700D,0840041597,NO,SI,NO,NO,SI,NO,Non Comunicato
201516,AGIS018009,0840311370,NO,SI,NO,NO,SI,NO,Non Comunicato
201516,AGIS018009,0840311373,NO,SI,NO,NO,SI,NO,Non Comunicato
201516,AGIS018009,0840311396,NO,NO,SI,NO,SI,NO,Non Comunicato
201516,AGIS019005,0840171780,NO,SI,SI,NO,SI,NO,Non Comunicato
201516,AGIS021005,0840331023,NO,SI,NO,NO,SI,NO,Non Comunicato
201516,AGIS022001,0840270510,NO,NO,SI,NO,SI,NO,Non Comunicato
201516,AGIS02300R,0840010547,NO,SI,NO,NO,SI,NO,Non Comunicato
201516,AGIS02400L,0840031391,NO,NO,NO,NO,NO,NO,Non Comunicato
201516,AGMM054009,0840414279,SI,SI,NO,NO,SI,NO,Non Comunicato
201516,AGMM805036,0840302758,SI,SI,SI,NO,SI,SI,Non Comunicato
201516,AGMM812017,0840023121,SI,NO,NO,NO,SI,NO,Non Comunicato
201516,AGMM812028,0840151899,SI,NO,NO,NO,SI,NO,Non Comunicato
201516,AGMM812028,0840151900,SI,NO,NO,NO,SI,NO,Non Comunicato
201516,AGMM81504T,0840111097,SI,SI,SI,NO,SI,SI,Non Comunicato
201516,AGMM81701A,0840341118,SI,SI,SI,NO,SI,SI,Non Comunicato
201516,AGMM81701A,0840341119,SI,SI,SI,NO,SI,SI,Non Comunicato
201516,AGMM818016,0840361145,SI,SI,NO,NO,SI,SI,Non Comunicato
201516,AGMM819023,0840321043,SI,NO,NO,NO,SI,SI,Non Comunicato
201516,AGMM819023,0840321044,SI,NO,NO,NO,SI,NO,Non Comunicato
201516,AGMM819023,0840321046,SI,NO,NO,NO,SI,SI,Non Comunicato
201516,AGMM820016,0840014230,SI,SI,NO,NO,SI,NO,Non Comunicato
201516,AGMM820016,0840014231,SI,SI,NO,NO,SI,NO,Non Comunicato
201516,AGMM820016,0840014232,SI,SI,NO,NO,SI,NO,Non Comunicato
201516,AGMM821012,0840014223,SI,SI,NO,NO,SI,NO,Non Comunicato
201516,AGMM821012,0840014224,SI,SI,NO,NO,SI,NO,Non Comunicato
201516,AGMM82201T,0840014026,NO,SI,NO,NO,SI,NO,Non Comunicato
201516,AGMM82201T,0840014168,SI,SI,NO,NO,SI,NO,Non Comunicato
201516,AGMM82201T,0840014355,NO,SI,NO,NO,SI,NO,Non Comunicato
201516,AGMM82301N,0840014193,SI,SI,NO,NO,SI,NO,Non Comunicato
201516,AGMM82301N,0840014252,SI,SI,NO,NO,SI,NO,Non Comunicato
201516,AGMM82401D,0840014220,NO,NO,NO,NO,SI,NO,Non Comunicato
201516,AGMM82401D,0840014229,NO,SI,NO,NO,SI,NO,Non Comunicato
201516,AGMM82401D,0840014291,NO,SI,NO,NO,SI,NO,Non Comunicato
201516,AGMM82401D,0840014337,NO,SI,NO,NO,SI,NO,Non Comunicato
201516,AGMM825019,0840014228,SI,SI,NO,NO,SI,NO,Non Comunicato
201516,AGMM826015,0840054834,SI,NO,NO,NO,SI,NO,Non Comunicato
201516,AGMM826048,0840071167,SI,SI,SI,NO,SI,SI,Non Comunicato
201516,AGMM826048,0840071169,SI,NO,SI,NO,SI,SI,Non Comunicato
201516,AGMM827011,0840091061,SI,SI,SI,NO,SI,SI,Non Comunicato
201516,AGMM827011,0840091062,SI,SI,SI,NO,SI,SI,Non Comunicato
201516,AGMM82901L,0840111104,SI,SI,NO,SI,SI,SI,Non Comunicato
201516,AGMM83001R,0840111095,SI,SI,SI,SI,SI,SI,Non Comunicato
201516,AGMM83601Q,0840231135,SI,SI,NO,NO,SI,SI,Non Comunicato
201516,AGMM83801B,0840274810,SI,SI,NO,NO,SI,NO,Non Comunicato
201516,AGMM839017,0840282298,NO,NO,NO,NO,SI,SI,SI
201516,AGMM841017,0840314556,NO,NO,NO,NO,SI,NO,Non Comunicato
201516,AGMM84301V,0840330603,SI,SI,NO,NO,SI,SI,Non Comunicato
201516,AGMM84501E,0840414357,SI,SI,NO,NO,SI,NO,Non Comunicato
201516,AGMM84501E,0840414358,SI,SI,NO,NO,SI,NO,Non Comunicato
201516,AGMM847016,0840274800,SI,SI,NO,NO,SI,NO,Non Comunicato
201516,AGMM84901T,0840211126,NO,SI,SI,NO,SI,SI,Non Comunicato
201516,AGMM850012,0840274844,SI,SI,SI,NO,SI,SI,Non Comunicato
201516,AGMM85101T,0840291071,SI,NO,NO,NO,SI,NO,Non Comunicato
201516,AGMM85301D,0840261156,SI,NO,SI,NO,SI,NO,Non Comunicato
201516,AGMM85301D,0840261159,SI,NO,NO,NO,SI,NO,Non Comunicato
201516,AGMM85301D,0840261161,SI,NO,SI,NO,SI,NO,Non Comunicato
201516,AGMM855015,0840014214,NO,NO,NO,NO,SI,NO,Non Comunicato
201516,AGMM855015,0840014215,NO,NO,NO,NO,SI,NO,Non Comunicato
201516,AGMM85901C,0840174157,SI,SI,SI,NO,SI,SI,Non Comunicato
201516,AGMM86101C,0840174143,SI,SI,NO,NO,SI,SI,Non Comunicato
201516,AGPC001017,0840110785,NO,SI,NO,NO,SI,NO,Non Comunicato
201516,AGPC008012,0840411635,NO,SI,NO,NO,SI,NO,Non Comunicato
201516,AGPC010001,0840010666,NO,SI,NO,SI,SI,NO,Non Comunicato
201516,AGPC010001,0840011700,NO,NO,NO,NO,NO,NO,Non Comunicato
201516,AGPC01701R,0840041597,NO,SI,NO,NO,SI,NO,Non Comunicato
201516,AGPC01701R,0840041601,NO,SI,NO,NO,SI,NO,Non Comunicato
201516,AGPC060002,0840211619,NO,SI,NO,NO,SI,NO,Non Comunicato
