ANNOSCOLASTICO, CODICESCUOLA, CODICEEDIFICIO, SPAZIDIDATTICI, AULAMAGNA, MENSA, PALESTRAPISCINA, SPAZIAMMINISTRATIVI
201516,CSEE81701N,0780260771,Esiste,Esiste,Esiste,Esiste,Esiste
201516,CSEE81702P,0780260903,Esiste,Non Esiste,Non Esiste,Non Esiste,Non Esiste
201516,CSEE81703Q,0780500658,Esiste,Non Esiste,Non Esiste,Non Esiste,Non Esiste
201516,CSEE81803G,0780040221,Esiste,Non Esiste,Non Esiste,Non Esiste,Non Esiste
201516,CSEE81804L,0780420453,Esiste,Non Esiste,Non Esiste,Non Esiste,Non Esiste
201516,CSEE81805N,0781400458,Esiste,Non Esiste,Non Esiste,Non Esiste,Non Esiste
201516,CSEE81902A,0780130467,Esiste,Non Esiste,Non Esiste,Non Esiste,Non Esiste
201516,CSEE81905D,0780670468,Esiste,Non Esiste,Non Esiste,Non Esiste,Non Esiste
201516,CSEE81907G,0780550203,Esiste,Non Esiste,Non Esiste,Non Esiste,Non Esiste
201516,CSEE822059,0780290813,Esiste,Non Esiste,Non Esiste,Non Esiste,Non Esiste
201516,CSEE823011,0781540114,Esiste,Non Esiste,Non Esiste,Non Esiste,Non Esiste
201516,CSEE823022,0781540115,Esiste,Non Esiste,Non Esiste,Non Esiste,Non Esiste
201516,CSEE823044,0781000509,Esiste,Non Esiste,Non Esiste,Non Esiste,Non Esiste
201516,CSEE82401R,0780560508,Esiste,Non Esiste,Non Esiste,Non Esiste,Non Esiste
201516,CSEE82402T,0780560137,Esiste,Non Esiste,Non Esiste,Non Esiste,Non Esiste
201516,CSEE82404X,0780360818,Esiste,Non Esiste,Esiste,Non Esiste,Esiste
201516,CSEE824051,0780360135,Esiste,Non Esiste,Non Esiste,Non Esiste,Non Esiste
201516,CSEE824062,0781200138,Esiste,Non Esiste,Esiste,Esiste,Non Esiste
201516,CSEE827018,0780830874,Esiste,Non Esiste,Non Esiste,Non Esiste,Non Esiste
201516,CSEE827029,0781361427,Esiste,Non Esiste,Non Esiste,Non Esiste,Non Esiste
201516,CSEE82901X,0780840985,Esiste,Non Esiste,Non Esiste,Non Esiste,Non Esiste
201516,CSEE829032,0780630853,Esiste,Esiste,Esiste,Esiste,Esiste
201516,CSEE829043,0780640623,Esiste,Non Esiste,Non Esiste,Non Esiste,Non Esiste
201516,CSEE829054,0780920877,Esiste,Non Esiste,Non Esiste,Non Esiste,Non Esiste
201516,CSEE829054,0780920878,Non Esiste,Non Esiste,Non Esiste,Esiste,Non Esiste
201516,CSEE831021,0780440536,Esiste,Non Esiste,Non Esiste,Non Esiste,Non Esiste
201516,CSEE831043,0780440162,Esiste,Non Esiste,Non Esiste,Non Esiste,Non Esiste
201516,CSEE831054,0780440170,Esiste,Non Esiste,Non Esiste,Non Esiste,Non Esiste
201516,CSEE831065,0780440526,Esiste,Non Esiste,Non Esiste,Non Esiste,Non Esiste
201516,CSEE83202R,0781180916,Esiste,Non Esiste,Esiste,Non Esiste,Esiste
201516,CSEE83203T,0781521100,Esiste,Non Esiste,Non Esiste,Non Esiste,Non Esiste
201516,CSEE83205X,0781330686,Esiste,Esiste,Esiste,Non Esiste,Esiste
201516,CSEE832061,0781330687,Esiste,Non Esiste,Non Esiste,Non Esiste,Non Esiste
201516,CSEE83302L,0780190082,Esiste,Non Esiste,Non Esiste,Non Esiste,Non Esiste
201516,CSEE83303N,0780190083,Esiste,Non Esiste,Esiste,Non Esiste,Non Esiste
201516,CSEE83304P,0781170080,Esiste,Non Esiste,Non Esiste,Non Esiste,Non Esiste
201516,CSEE83305Q,0781170473,Esiste,Non Esiste,Non Esiste,Non Esiste,Non Esiste
201516,CSEE83401B,0780880415,Esiste,Non Esiste,Non Esiste,Non Esiste,Esiste
201516,CSEE83402C,0781531444,Esiste,Non Esiste,Non Esiste,Esiste,Esiste
201516,CSEE835017,0780710194,Esiste,Non Esiste,Non Esiste,Non Esiste,Non Esiste
